ind_ID,sppcode,mue_frac,alb_frac,ste_frac,mac1_frac,mac2_frac,bic_frac,lat,long
QUE002057_mac,1,1e-05,1e-05,1e-05,0.999949454545455,1.05454545454545e-05,1e-05,38.963586,-98.58906
QUE002074_mac,1,1e-05,1e-05,1.09090909090909e-05,0.176539272727273,0.823419909090909,1e-05,39.839311,-88.367745
QUE002075_alb,2,1.05454545454545e-05,0.999949,1e-05,1e-05,1e-05,1.04545454545455e-05,39.839311,-88.367745
QUE002081_mac,1,1e-05,1.04545454545455e-05,1.00909090909091e-05,1.05454545454545e-05,0.999948545454545,1.03636363636364e-05,37.51492,-89.4445
QUE002082_mac,1,1.01818181818182e-05,1e-05,1e-05,1e-05,0.999949818181818,1e-05,37.51639,-89.44535
QUE002085_mac,1,1.07272727272727e-05,1e-05,1e-05,1e-05,0.999948636363636,1.06363636363636e-05,38.7362,-86.41257
QUE002091_alb,2,1.05454545454545e-05,0.999948454545455,1.09090909090909e-05,1e-05,1e-05,1e-05,38.73631,-86.41434
QUE002098_mue,5,0.999945818181818,1.09090909090909e-05,1.17272727272727e-05,1.02727272727273e-05,1.13636363636364e-05,1e-05,38.73743,-86.41263
QUE002105_mac,1,1.07272727272727e-05,1e-05,0.00635745454545454,0.993601818181818,1e-05,1e-05,40.45916,-85.50807
QUE002108_alb,2,1.07272727272727e-05,0.999948545454545,1e-05,1.00909090909091e-05,1e-05,1.06363636363636e-05,40.45911,-85.50917
QUE002121_alb,2,1.13636363636364e-05,0.999948272727273,1.03636363636364e-05,1e-05,1e-05,1e-05,41.65738,-87.06045
QUE002129_mac,1,1.05454545454545e-05,1e-05,1e-05,1e-05,0.999949454545455,1e-05,41.9623302,-73.313005
QUE002133_mac,1,1e-05,1e-05,1e-05,0.926798909090909,1e-05,0.0731610909090909,42.1666494,-73.41209
QUE002138_alb,2,1.02727272727273e-05,0.999948636363636,1.01818181818182e-05,1e-05,1e-05,1.09090909090909e-05,43.604683,-73.180401
QUE002154_mac,1,1e-05,0.00792154545454545,1.01818181818182e-05,0.954102818181818,0.0282429090909091,0.00971272727272727,44.4006814,-73.23757
