ind_ID,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elev,moist_index
QUE001340_mac,10.0916662216187,11.1166667938232,27.7223606109619,1069.98266601562,29.6000003814697,-10.5,40.0999984741211,20.6833324432373,-3.90000009536743,22.6499996185303,-3.90000009536743,952,112,35,33.5421295166016,321,127,320,127,236,-23.0396119644301
QUE001341_mac,10.1041669845581,11.0583333969116,27.5768909454346,1071.58435058594,29.6000003814697,-10.5,40.0999984741211,20.716667175293,-3.90000009536743,22.6999988555908,-3.90000009536743,951,112,35,33.4918937683105,321,127,319,127,236,-23.1204527081649
QUE001342_mac,10.1041669845581,11.0583333969116,27.5768909454346,1071.58435058594,29.6000003814697,-10.5,40.0999984741211,20.716667175293,-3.90000009536743,22.6999988555908,-3.90000009536743,951,112,35,33.4918937683105,321,127,319,127,236,-23.1204527081649
QUE001343_mac,10.1041669845581,11.0583333969116,27.5768909454346,1071.58435058594,29.6000003814697,-10.5,40.0999984741211,20.716667175293,-3.90000009536743,22.6999988555908,-3.90000009536743,951,112,35,33.4918937683105,321,127,319,127,236,-23.1204527081649
QUE001344_mac,10.1041669845581,11.0583333969116,27.5768909454346,1071.58435058594,29.6000003814697,-10.5,40.0999984741211,20.716667175293,-3.90000009536743,22.6999988555908,-3.90000009536743,951,112,35,33.4918937683105,321,127,319,127,236,-23.1204527081649
QUE001345_mac,10.1041669845581,11.0583333969116,27.5768909454346,1071.58435058594,29.6000003814697,-10.5,40.0999984741211,20.716667175293,-3.90000009536743,22.6999988555908,-3.90000009536743,951,112,35,33.4918937683105,321,127,319,127,236,-23.1204527081649
QUE001346_mac,10.1041669845581,11.0583333969116,27.5768909454346,1071.58435058594,29.6000003814697,-10.5,40.0999984741211,20.716667175293,-3.90000009536743,22.6999988555908,-3.90000009536743,951,112,35,33.4918937683105,321,127,319,127,236,-23.1204527081649
QUE001347_mac,10.1041669845581,11.0583333969116,27.5768909454346,1071.58435058594,29.6000003814697,-10.5,40.0999984741211,20.716667175293,-3.90000009536743,22.6999988555908,-3.90000009536743,951,112,35,33.4918937683105,321,127,319,127,236,-23.1204527081649
QUE001348_mac,10.1041669845581,11.0583333969116,27.5768909454346,1071.58435058594,29.6000003814697,-10.5,40.0999984741211,20.716667175293,-3.90000009536743,22.6999988555908,-3.90000009536743,951,112,35,33.4918937683105,321,127,319,127,236,-23.1204527081649
QUE001349_mac,10.1041669845581,11.0583333969116,27.5768909454346,1071.58435058594,29.6000003814697,-10.5,40.0999984741211,20.716667175293,-3.90000009536743,22.6999988555908,-3.90000009536743,951,112,35,33.4918937683105,321,127,319,127,236,-23.1204527081649
QUE001350_mac,10.1041669845581,11.0583333969116,27.5768909454346,1071.58435058594,29.6000003814697,-10.5,40.0999984741211,20.716667175293,-3.90000009536743,22.6999988555908,-3.90000009536743,951,112,35,33.4918937683105,321,127,319,127,236,-23.1204527081649
