ind_ID,lat,long
QUE002269_alb,38.80958,-95.18916
QUE002275_alb,38.8089,-95.19019
QUE002282_alb,38.8096,-95.19265
QUE002283_ste,38.8096,-95.19265
QUE002284_mac,38.8087,-95.19389
QUE002285_mue,38.8087,-95.19389
QUE002290_mue,38.80832,-95.19458
QUE002291_mac,38.80803,-95.19508
QUE002295_mac,39.10709,-96.60772
QUE002299_mac,39.10691,-96.60616
QUE002302_mac,39.10339,-96.59616
QUE002303_mue,39.10158,-96.59982
QUE002304_mac,39.10791,-96.60469
QUE002310_mue,39.10761,-96.6074
QUE002313_alb,41.86308,-85.74551
QUE002314_alb,41.74568,-85.74568
QUE002315_alb,41.86175,-85.74576
QUE002319_alb,41.86398,-85.74573
QUE002324_alb,41.86993,-85.74568
QUE002326_mac,43.85323,-83.923
QUE002331_mac,43.84822,-83.92385
QUE002335_mac,43.85714,-83.92524
QUE002336_mac,42.30836,-83.75671
QUE002337_alb,42.30474,-83.7508
QUE002338_mac,42.30404,-83.74966
QUE002339_alb,42.30204,-83.75024
QUE002341_mac,42.30153,-83.75108
QUE002342_alb,42.30881,-83.75718
QUE002346_alb,42.76774,-84.39124
QUE002347_bic,42.76743,-84.3908
QUE002351_alb,42.76807,-84.39044
QUE002355_alb,42.76662,-84.39114
QUE002356_mac,42.76512,-84.38902
QUE002360_bic,42.79514,-84.39266
QUE002361_bic,42.76526,-84.38254
QUE002362_alb,42.76512,-84.38236
QUE002363_alb,43.01628,-90.11329
QUE002364_mac,43.01643,-90.11418
QUE002365_mac,43.01642,-90.11423
QUE002366_alb,43.01676,-90.11419
QUE002367_mac,43.01685,-90.11481
QUE002368_mac,43.01993,-90.11587
QUE002369_mac,43.02128,-90.11695
QUE002370_alb,43.02158,-90.1181
QUE002371_mac,43.02073,-90.11771
QUE002373_mac,43.0193,-90.11692
QUE002374_mac,43.01828,-90.11701
QUE002375_alb,43.01817,-90.11679
QUE002379_mac,43.02037,-90.11654
QUE002383_alb,43.01563,-90.11357
QUE002384_mac,43.01546,-88.44251
QUE002385_alb,43.01574,-88.44255
QUE002392_alb,43.01792,-88.43778
QUE002393_mac,43.01838,-88.43741
QUE002399_alb,43.01706,-88.43531
QUE002400_mac,43.01607,-88.43513
QUE002404_mac,43.03952,-89.43194
QUE002410_alb,43.03918,-89.43919
QUE002411_mac,43.03939,-89.43954
QUE002416_alb,43.03971,-89.44242
QUE002417_mac,43.03966,-89.44229
QUE002422_alb,43.03713,-89.44103
QUE002424_mac,44.36388,-93.93543
QUE002427_mac,44.36388,-93.93543
QUE002430_mac,44.36413,-93.93551
QUE002433_mac,45.53,-94.23291
QUE002436_mac,45.52997,-94.23644
QUE002443_mac,45.53088,-94.23989
QUE002445_mac,44.98602,-93.18341
QUE002450_mac,44.99094,-93.19437
QUE002453_mac,44.97771,-93.23801
QUE002454_mac,41.08874,-85.12054
QUE002455_mac,41.08919,-85.11948
QUE002459_mac,41.08937,-85.11921
QUE002460_mac,40.0436,-83.47987
QUE002463_mac,40.04521,-83.47924
QUE002467_mac,40.04436,-83.47891
QUE002471_mac,40.73122,-83.09328
QUE002474_mac,40.73036,-83.09472
QUE002478_mac,40.72819,-83.09294
QUE002480_mac,41.55069,-84.35969
QUE002481_mue,41.55096,-84.35846
QUE002484_mue,41.55111,-84.35754
QUE002487_alb,41.55184,-84.35523
QUE002488_mue,41.55179,-84.35439
QUE002492_mac,41.55453,-84.35494
QUE002493_alb,41.5522,-84.35895
QUE002494_alb,41.55399,-84.36051
QUE002495_alb,41.71554,-87.86613
QUE002496_mac,41.71553,-87.86614
QUE002502_mac,41.71129,-87.86589
QUE002503_alb,41.71076,-87.86585
QUE002510_mac,41.70489,-87.86563
QUE002511_alb,41.70382,-87.86566
QUE002515_mac,41.35763,-88.3248
QUE002518_mac,41.35543,-88.31912
QUE002520_mac,41.35823,-88.3248
QUE002521_mac,42.18309,-87.91367
QUE002522_alb,42.18346,-87.91339
QUE002526_alb,42.18327,-87.91426
QUE002527_mac,42.18403,-87.91594
QUE002528_bic,42.18431,-87.91628
QUE002529_bic,42.18461,-87.91605
QUE002531_bic,42.18361,-87.91519
QUE002533_mac,42.18369,-87.91427
QUE002534_alb,42.18271,-87.91479
QUE002535_alb,41.82519,-87.93085
QUE002536_mac,41.82643,-87.93114
QUE002539_bic,41.82445,-87.93334
QUE002542_mac,41.82484,-87.93243
QUE002544_alb,41.82534,-87.93216
QUE002555_alb,41.82584,-87.93339
QUE002556_bic,41.82472,-87.96408
QUE002558_mac,41.82545,-87.93266
QUE002559_mac,41.82556,-87.93279
QUE002560_mac,42.257804,-87.881609
QUE002564_mac,42.257804,-87.881609
QUE002570_mac,43.76049,-103.47675
QUE002574_mac,43.7746,-103.43264
QUE002579_mac,43.81684,-103.25005
QUE002581_mac,44.49133,-103.80895
QUE002585_mac,44.46733,-103.84975
QUE002589_mac,44.4337,-103.87411
QUE002590_mac,45.38953,-93.19485
QUE002595_mac,44.2244444,-93.528333
QUE002599_mac,44.2261111,-93.471944
QUE002601_mac,44.86798,-93.03203
QUE002608_mac,45.4222222,-93.188056
QUE002613_mac,42.04141,-93.678679
QUE002614_mac,42.049533,-93.679052
QUE002615_mac,42.036203,-93.639256
QUE002616_mac,42.030898,-93.632418
QUE002617_mac,42.023609,-93.633087
QUE002631_mac,43.68481,-92.92696
QUE002634_mac,43.68461,-92.92134
QUE002637_mac,43.68836,-92.92859
QUE002638_mac,43.677,-92.93769
QUE002641_mac,43.68531,-92.92292
QUE002647_mac,43.677,-92.93769
