Sample	Top over-represented sequence	Sum of remaining over-represented sequences
home | gabe | qmac | analyses | qc | OAK-MOR-000894_S335_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000907_S339_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000907_S339_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000931_S290_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000931_S290_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000935_S333_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000935_S333_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000942_S342_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000942_S342_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000944_S340_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000944_S340_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000960_S336_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000960_S336_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000961_S222_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000961_S222_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000962_S244_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000962_S244_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000963_S252_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000963_S252_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000964_S253_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000964_S253_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000965_S194_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000965_S194_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000966_S245_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000966_S245_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000967_S231_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000967_S231_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000971_S334_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000971_S334_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-001004_S192_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-001004_S192_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-001005_S227_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-001005_S227_L007_R2_001	0.0	0.0
