ind_ID spp Pure_alb Pure_mac F1 F2 Bx1_alb Bx1_mac Bx2_alb Bx2_mac Bx3_alb Bx3_mac
QUE002478_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002487_alb alb 0.99936 0 0 0 0 0 0 0 0.00064 0
QUE002492_mac mac 0 0.99829 0 0 0 0 0 1e-05 0 0.0017
QUE002494_alb alb 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE002495_alb alb 0.99799 0 0 0 0 0 1e-05 0 0.00199 0
QUE002496_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002502_mac mac 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE002503_alb alb 0.99994 0 0 0 0 0 0 0 6e-05 0
QUE002510_mac mac 0 0.99926 0 0 0 0 0 0 0 0.00074
QUE002511_alb alb 0.99992 0 0 0 0 0 0 0 8e-05 0
QUE002515_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002518_mac mac 0 0.99986 0 0 0 0 0 0 0 0.00014
QUE002520_mac mac 0 0.99984 0 0 0 0 0 0 0 0.00016
QUE002521_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE002522_alb alb 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE002533_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002534_alb alb 0.99992 0 0 0 0 0 0 0 8e-05 0
QUE002542_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002544_alb alb 0.99946 0 0 0 0 0 0 0 0.00053 0
QUE002555_alb alb 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE002558_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002559_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002560_mac mac 0 0.99926 0 0 0 0 0 0 0 0.00074
QUE002564_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE002581_mac mac 0 0.98784 0 0 0 0 0 0.00039 0 0.01177
QUE002570_mac mac 0 0.99979 0 0 0 0 0 0 0 0.00021
QUE001632_mac mac 0 0.99903 0 0 0 0 0 1e-05 0 0.00096
QUE001635_mac mac 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE001636_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001638_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001644_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001645_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001647_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001648_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001651_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001654_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE001656_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001658_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE001661_mac mac 0 0.99903 0 0 0 0 0 1e-05 0 0.00096
QUE001664_mac mac 0 0.99977 0 0 0 0 0 0 0 0.00023
QUE001667_mac mac 0 0.99775 0 0 0 0 0 1e-05 0 0.00223
QUE001668_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001676_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001677_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001678_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE001679_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE001684_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001686_mac mac 0 0.99979 0 0 0 0 0 0 0 0.00021
QUE001687_mac mac 0 0.99981 0 0 0 0 0 0 0 0.00019
QUE001690_mac mac 0 0.99974 0 0 0 0 0 0 0 0.00026
QUE001691_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001697_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001700_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001705_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE001706_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE001713_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001716_mac mac 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE001719_mac mac 0 0.99909 0 0 0 0 0 0 0 9e-04
QUE001721_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE001723_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001724_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001652_mac mac 0 0.9897 0 0 0 0 0 0.00019 0 0.01012
QUE001655_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001670_mac mac 0 0.99927 0 0 0 0 0 1e-05 0 0.00072
QUE001673_mac mac 0 0.99979 0 0 0 0 0 0 0 0.00021
QUE001680_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE001682_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
