ind_ID spp Pure_ste Pure_mac F1 F2 Bx1_ste Bx1_mac Bx2_ste Bx2_mac Bx3_ste Bx3_mac
QUE002542_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002558_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002559_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002560_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002564_mac mac 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE002581_mac mac 0 0.99975 0 0 0 0 0 2e-05 0 0.00024
QUE002570_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001632_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001633_mac mac 0 0 1 0 0 0 0 0 0 0
QUE001635_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001636_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE001638_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001644_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001645_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001647_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001648_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001651_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001656_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001658_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001661_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001663_ste ste 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE001664_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE001667_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001668_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001676_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001677_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001678_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001679_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001684_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001686_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001687_mac mac 0 0.9997 0 0 0 0 0 1e-05 0 0.00029
QUE001690_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001691_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001697_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001700_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001705_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001706_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001713_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001716_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001719_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001721_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001723_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001724_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001652_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001655_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001670_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001673_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001680_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001682_mac mac 0 1 0 0 0 0 0 0 0 0
