ind_ID spp Pure_mac Pure_bic F1 F2 Bx1_mac Bx1_bic Bx2_mac Bx2_bic Bx3_mac Bx3_bic
QUE002341_mac mac 0.49913 0 0 0 0 0 0.00857 0 0.4923 0
QUE002347_bic bic 0 0.99725 0 0 0 0 0 0 0 0.00275
QUE002379_mac mac 0.99956 0 0 0 0 0 0 0 0.00044 0
QUE002384_mac mac 0.99849 0 0 0 0 0 0 0 0.00151 0
QUE002393_mac mac 0.99744 0 0 0 0 0 0 0 0.00256 0
QUE002404_mac mac 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE002411_mac mac 0.99975 0 0 0 0 0 0 0 0.00025 0
QUE002417_mac mac 0.99388 0 0 0 0 0 0 0 0.00612 0
QUE002427_mac mac 0.98163 0 0 0 0 0 1e-05 0 0.01835 0
QUE002430_mac mac 0.99923 0 0 0 0 0 0 0 0.00077 0
QUE002433_mac mac 0.99877 0 0 0 0 0 0 0 0.00123 0
QUE002443_mac mac 0.99651 0 0 0 0 0 0 0 0.00349 0
QUE002445_mac mac 0.99809 0 0 0 0 0 0 0 0.00191 0
QUE002450_mac mac 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE002453_mac mac 0.99539 0 0 0 0 0 0 0 0.00461 0
QUE002454_mac mac 0.95823 0 0 0 0 0 3e-05 0 0.04174 0
QUE002459_mac mac 0.99277 0 0 0 0 0 1e-05 0 0.00722 0
QUE002460_mac mac 0.99152 0 0 0 0 0 1e-05 0 0.00847 0
QUE002467_mac mac 0.99766 0 0 0 0 0 0 0 0.00234 0
QUE002474_mac mac 0.99979 0 0 0 0 0 0 0 0.00021 0
QUE002478_mac mac 0.99523 0 0 0 0 0 0 0 0.00477 0
QUE002492_mac mac 0.99181 0 0 0 0 0 0 0 0.00818 0
QUE002496_mac mac 0.99932 0 0 0 0 0 0 0 0.00068 0
QUE002502_mac mac 0.99609 0 0 0 0 0 0 0 0.00391 0
QUE002510_mac mac 0.9991 0 0 0 0 0 0 0 9e-04 0
QUE002515_mac mac 0.98629 0 0 0 0 0 1e-05 0 0.0137 0
QUE002518_mac mac 0.99334 0 0 0 0 0 0 0 0.00666 0
QUE002520_mac mac 0.97812 0 0 0 0 0 2e-05 0 0.02187 0
QUE002521_mac mac 0.99946 0 0 0 0 0 0 0 0.00054 0
QUE002529_bic bic 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE002531_bic bic 0 0.99959 0 0 0 0 0 0 0 0.00041
QUE002533_mac mac 0.99898 0 0 0 0 0 0 0 0.00102 0
QUE002542_mac mac 0.99258 0 0 0 0 0 0 0 0.00742 0
QUE002556_bic bic 0 0.92464 0 0 0 0 0 0.00199 0 0.07336
QUE002558_mac mac 0.99981 0 0 0 0 0 0 0 0.00019 0
QUE002559_mac mac 0.99886 0 0 0 0 0 0 0 0.00114 0
QUE002560_mac mac 0.99715 0 0 0 0 0 0 0 0.00285 0
QUE002564_mac mac 0.99951 0 0 0 0 0 0 0 0.00049 0
QUE002570_mac mac 0.99882 0 0 0 0 0 0 0 0.00118 0
QUE001632_mac mac 0.9973 0 0 0 0 0 0 0 0.0027 0
QUE001635_mac mac 0.94863 0 0 0 0 0 4e-05 0 0.05133 0
QUE001636_mac mac 0.9616 0 0 0 0 0 4e-05 0 0.03836 0
