mukey,ind_ID,lat,long,ffd,areasymbol,musym,muname,caco3_r,cec7_r,ec_r,ecec_r,gypsum_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,lep_r,om_r,ksat_r,awc_r,pondfreqcl_dc,flodfreqcl_dc,drclassdcd,aws0100wta,surf_texture,min_surf_texture,total_aws,avg_soildepth
186749,QUE002362,42.76512,-84.38236,127,MI065,PmsacA,Palms muck; 0 to 1 percent slopes,1.45,72.18,0.46,NA,0,7.4,10,25,65,0.71,0.7,32.6,9.41,0.34,Frequent,None,Very poorly drained,33.63,muck,sil,55.08,203
186749,QUE002361,42.76526,-84.38254,127,MI065,PmsacA,Palms muck; 0 to 1 percent slopes,1.45,72.18,0.46,NA,0,7.4,10,25,65,0.71,0.7,32.6,9.41,0.34,Frequent,None,Very poorly drained,33.63,muck,sil,55.08,203
186759,QUE002356,42.76512,-84.38902,127,MI065,ThA,Thetford loamy sand; 0 to 3 percent slopes,0,4.5,0,NA,0,6.62,8.81,87.78,3.41,1.51,1.5,0.81,34.5,0.08,None,None,Somewhat poorly drained,8.87,ls,ls,13.4,152
191650,QUE002341,42.30153,-83.75108,129,MI161,MmF,Miami loam; 25 to 35 percent slopes,3.6,13.94,0,NA,0,6.44,25.14,38.58,36.28,1.51,2.94,0.56,7.49,0.19,None,None,Well drained,18,l,l,26.01,152
191650,QUE002339,42.30204,-83.75024,129,MI161,MmF,Miami loam; 25 to 35 percent slopes,3.6,13.94,0,NA,0,6.44,25.14,38.58,36.28,1.51,2.94,0.56,7.49,0.19,None,None,Well drained,18,l,l,26.01,152
191668,QUE002342,42.30881,-83.75718,129,MI161,Sb,Sebewa loam; disintegration moraine; 0 to 2 percent slopes,3.15,19.31,0,NA,0,7.05,23.94,50.91,25.15,1.5,3.04,1.64,21.56,0.15,Frequent,None,Poorly drained,14.8,l,l,17.86,NA
191668,QUE002338,42.30404,-83.74966,129,MI161,Sb,Sebewa loam; disintegration moraine; 0 to 2 percent slopes,3.15,19.31,0,NA,0,7.05,23.94,50.91,25.15,1.5,3.04,1.64,21.56,0.15,Frequent,None,Poorly drained,14.8,l,l,17.86,NA
191668,QUE002336,42.30836,-83.75671,129,MI161,Sb,Sebewa loam; disintegration moraine; 0 to 2 percent slopes,3.15,19.31,0,NA,0,7.05,23.94,50.91,25.15,1.5,3.04,1.64,21.56,0.15,Frequent,None,Poorly drained,14.8,l,l,17.86,NA
191687,QUE002337,42.30474,-83.7508,129,MI161,WaA,Wasepi sandy loam; 0 to 4 percent slopes,0.8,5.82,0,NA,0,6.77,10.47,72.65,16.88,1.37,1.5,0.88,54.4,0.12,None,None,Somewhat poorly drained,12.11,sl,sl,13.75,152
198805,QUE001360,41.7895934,-88.272206,143,IL089,152A,Drummer silty clay loam; 0 to 2 percent slopes,0,26.8,0,NA,0,6.7,31,8,61,1.32,4,2.75,9.17,0.17,Frequent,None,Poorly drained,17.39,sicl,sicl,28.59,152
198805,QUE001359,41.7905251,-88.266149,141,IL089,152A,Drummer silty clay loam; 0 to 2 percent slopes,0,26.8,0,NA,0,6.7,31,8,61,1.32,4,2.75,9.17,0.17,Frequent,None,Poorly drained,17.39,sicl,sicl,28.59,152
198818,QUE001353,41.7871378,-88.272995,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
198818,QUE001355,41.7871378,-88.272995,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
198818,QUE001356,41.7873037,-88.273141,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
198818,QUE001357,41.7873037,-88.273045,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
198818,QUE001354,41.7871378,-88.272995,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
198818,QUE001361,41.7872724,-88.271006,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
199539,QUE002084,37.51726,-89.44584,174,IL181,8085A,Jacob silty clay; 0 to 2 percent slopes; occasionally flooded,0,51.7,0,39,0,4.72,66.45,2.45,31.1,1.4,17,2.1,0.28,0.12,Occasional,Occasional,Poorly drained,12,sic,sic,24.36,203
199539,QUE002082,37.51639,-89.44535,174,IL181,8085A,Jacob silty clay; 0 to 2 percent slopes; occasionally flooded,0,51.7,0,39,0,4.72,66.45,2.45,31.1,1.4,17,2.1,0.28,0.12,Occasional,Occasional,Poorly drained,12,sic,sic,24.36,203
199539,QUE002083,37.51651,-89.44542,174,IL181,8085A,Jacob silty clay; 0 to 2 percent slopes; occasionally flooded,0,51.7,0,39,0,4.72,66.45,2.45,31.1,1.4,17,2.1,0.28,0.12,Occasional,Occasional,Poorly drained,12,sic,sic,24.36,203
199539,QUE002081,37.51492,-89.4445,174,IL181,8085A,Jacob silty clay; 0 to 2 percent slopes; occasionally flooded,0,51.7,0,39,0,4.72,66.45,2.45,31.1,1.4,17,2.1,0.28,0.12,Occasional,Occasional,Poorly drained,12,sic,sic,24.36,203
200200,QUE002072,39.839311,-88.367745,157,IL041,618F,Senachwine silt loam; 18 to 35 percent slopes,6.2,13.82,0.2,NA,0,6.76,26.26,30.17,43.57,1.57,2.44,0.57,7.01,0.13,None,None,Well drained,13.51,sil,sil,18.99,152
200200,QUE002073,39.839311,-88.367745,157,IL041,618F,Senachwine silt loam; 18 to 35 percent slopes,6.2,13.82,0.2,NA,0,6.76,26.26,30.17,43.57,1.57,2.44,0.57,7.01,0.13,None,None,Well drained,13.51,sil,sil,18.99,152
200200,QUE002074,39.839311,-88.367745,157,IL041,618F,Senachwine silt loam; 18 to 35 percent slopes,6.2,13.82,0.2,NA,0,6.76,26.26,30.17,43.57,1.57,2.44,0.57,7.01,0.13,None,None,Well drained,13.51,sil,sil,18.99,152
200200,QUE002075,39.839311,-88.367745,157,IL041,618F,Senachwine silt loam; 18 to 35 percent slopes,6.2,13.82,0.2,NA,0,6.76,26.26,30.17,43.57,1.57,2.44,0.57,7.01,0.13,None,None,Well drained,13.51,sil,sil,18.99,152
200200,QUE002076,39.839311,-88.367745,157,IL041,618F,Senachwine silt loam; 18 to 35 percent slopes,6.2,13.82,0.2,NA,0,6.76,26.26,30.17,43.57,1.57,2.44,0.57,7.01,0.13,None,None,Well drained,13.51,sil,sil,18.99,152
