ind_ID sppcode mac_frac alb_frac bic_frac ste_frac mue_frac
QUE001650_mac mac 0.632034 1e-05 0.367936 1e-05 1e-05
QUE001651_mac mac 0.991229 0.008741 1e-05 1e-05 1e-05
QUE001654_alb alb 0.003992 0.995978 1e-05 1e-05 1e-05
QUE001656_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001658_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001661_mac mac 0.998436 0.001534 1e-05 1e-05 1e-05
QUE001663_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE001664_mac mac 0.979599 1e-05 1e-05 1e-05 0.020371
QUE001665_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE001667_mac mac 0.975814 0.024156 1e-05 1e-05 1e-05
QUE001668_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001676_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001677_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001678_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001679_mac mac 0.992774 1e-05 1e-05 1e-05 0.007196
QUE001684_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001686_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001687_mac mac 0.954249 0.01247 0.0285 1e-05 0.004772
QUE001690_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001691_mac mac 0.987933 1e-05 0.012037 1e-05 1e-05
QUE001697_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001700_mac mac 0.997231 0.002739 1e-05 1e-05 1e-05
QUE001705_mac mac 0.985077 0.011277 0.003625 1e-05 1e-05
QUE001706_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001713_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001716_mac mac 0.989236 1e-05 0.010734 1e-05 1e-05
QUE001719_mac mac 0.986169 1e-05 1e-05 0.00538 0.008431
QUE001721_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001723_mac mac 0.996313 1e-05 0.003657 1e-05 1e-05
QUE001724_mac mac 0.992602 1e-05 0.002022 1e-05 0.005356
QUE001652_mac mac 0.993178 1e-05 0.006792 1e-05 1e-05
QUE001655_mac mac 0.991753 1e-05 0.008217 1e-05 1e-05
QUE001670_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001673_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001680_mac mac 0.968446 1e-05 0.026713 1e-05 0.004822
QUE001682_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
