ind_ID,sppcode,species_frac,admix_frac,lat,long,site,dist_from_rangeedge,sympspp_bin,sympspp_num,hab_suit
QUE001932_alb,alb,0.99995,4.99999999999945e-05,37.15729,-91.36499,EminenceMO,259274.948837443,Y,4,0.666606664657593
QUE001933_mac,mac,0.984543,0.0154570000000001,37.15687,-91.36471,EminenceMO,150310.120151484,Y,4,0.581730306148529
QUE001783_mac,mac,0.99996,4.000000000004e-05,41.9736,-91.7239,CedarRapidsIA,391132.348918265,Y,3,0.851667642593384
QUE001880_mac,mac,0.99996,4.000000000004e-05,36.2204,-95.89845,TulsaOK,163967.870818919,Y,3,0.759258091449738
QUE001907_mac,mac,0.99996,4.000000000004e-05,35.17688,-97.4497,NormanOK,126516.100242522,Y,2,0.720758020877838
QUE001937_mac,mac,0.99996,4.000000000004e-05,43.90292,-91.63996,WinonaMN,176919.512617882,Y,3,0.78987717628479
QUE001963_mac,mac,0.99996,4.000000000004e-05,49.76137,-99.1604,SpruceWoodsMB,148988.443708221,N,0,0.539027571678162
QUE001971_mac,mac,0.987638,0.012362,49.85783,-97.24911,AssiniboineMB,178611.223928622,N,0,0.921898663043976
QUE001982_mac,mac,0.999957,4.30000000000152e-05,46.0259,-91.14288,RoundLakeWI,21162.2483602508,Y,1,0.704386353492737
QUE002057_mac,mac,0.99996,4.000000000004e-05,38.963586,-98.58906,MinookaKS,29390.5437347223,N,0,0.5048907995224
QUE002074_mac,mac,0.99996,3.9999999999929e-05,39.839311,-88.367745,ChickenbristleIL,320305.483291729,Y,4,0.724680423736572
QUE002075_alb,alb,0.99995,4.99999999999945e-05,39.839311,-88.367745,ChickenbristleIL,538241.743990794,Y,4,0.557858824729919
QUE002081_mac,mac,0.992217,0.00778299999999998,37.51492,-89.4445,ShawneeIL,64327.1147154206,Y,4,0.625443816184998
QUE002082_mac,mac,0.99996,4.000000000004e-05,37.51639,-89.44535,ShawneeIL,64506.5307826247,Y,4,0.624661266803741
QUE002085_mac,mac,0.99996,4.000000000004e-05,38.7362,-86.41257,SpringMillIN,255700.805521549,Y,4,0.530303299427032
QUE002091_alb,alb,0.999945,5.50000000000272e-05,38.73631,-86.41434,SpringMillIN,544191.065284552,Y,4,0.636961698532104
QUE002098_mue,mue,0.99995,4.99999999999945e-05,38.73743,-86.41263,SpringMillIN,307820.226061281,Y,4,0.764142155647278
QUE002105_mac,mac,0.977309,0.022691,40.45916,-85.50807,TaylorIN,257536.336520818,Y,3,0.694707334041595
QUE002108_alb,alb,0.99995,4.99999999999945e-05,40.45911,-85.50917,TaylorIN,444759.658799367,Y,3,0.635905146598816
QUE002121_alb,alb,0.99995,4.99999999999945e-05,41.65738,-87.06045,DunesIN,375224.215535107,Y,3,0.68748927116394
QUE002129_mac,mac,0.99996,3.9999999999929e-05,41.9623302,-73.313005,LitchfieldCT,10627.3538876742,Y,3,0.158144563436508
QUE002133_mac,mac,0.869393,0.130607,42.1666494,-73.41209,BerkshireMA,1022.65915873768,Y,3,0.259757339954376
QUE002138_alb,alb,0.99995,4.99999999999945e-05,43.604683,-73.180401,RutlandVT,15259.5438222203,Y,3,0.687053620815277
QUE002154_mac,mac,0.975779,0.024221,44.4006814,-73.23757,BurlingtonVT,7876.73754475072,Y,3,0.866054475307465
QUE002155_alb,alb,0.523747,0.476253,44.4463947,-73.220154,BurlingtonVT,3807.89043834205,Y,3,0.731591463088989
QUE002187_mac,mac,0.972907,0.0270929999999999,38.51089,-90.55987,EurekaMO,209432.880767691,Y,4,0.775501847267151
QUE002188_ste,ste,0.99995,4.99999999999945e-05,38.51146,-90.55917,EurekaMO,123124.2801962,Y,4,0.685835897922516
QUE002189_mue,mue,0.99995,4.99999999999945e-05,38.51135,-90.55921,EurekaMO,208531.247262618,Y,4,0.879443228244781
QUE002196_bic,bic,0.99995,4.99999999999945e-05,38.22667,-91.08296,SullivanMO,6338.26492107422,Y,4,0.623133659362793
QUE002209_ste,ste,0.99995,4.99999999999945e-05,38.21813,-91.08355,SullivanMO,174903.101785943,Y,4,0.684660792350769
QUE002210_alb,alb,0.99995,4.99999999999945e-05,38.21718,-91.08636,SullivanMO,289180.75031047,Y,4,0.631681561470032
QUE002219_ste,ste,0.99995,4.99999999999945e-05,38.21786,-91.09209,SullivanMO,175361.853294495,Y,4,0.684261441230774
QUE002247_mue,mue,0.99995,4.99999999999945e-05,38.97887,-94.80495,ShawneeMissionKS,156727.337286455,Y,4,0.827309012413025
QUE002251_mac,mac,0.99996,4.000000000004e-05,38.98007,-94.8052,ShawneeMissionKS,254348.391135328,Y,4,0.784808337688446
QUE002252_ste,ste,0.99995,4.99999999999945e-05,38.98014,-94.80504,ShawneeMissionKS,35534.8518572162,Y,4,0.687073767185211
QUE002253_alb,alb,0.999948,5.2000000000052e-05,38.9803,-94.80532,ShawneeMissionKS,727.189860089305,Y,4,0.357804536819458
QUE002285_mue,mue,0.99995,4.99999999999945e-05,38.8087,-95.19389,BaldwinKS,123860.897772521,Y,4,0.826412796974182
QUE002302_mac,mac,0.999955,4.49999999999617e-05,39.10339,-96.59616,KonzaKS,126005.462946005,Y,2,0.776753008365631
QUE002303_mue,mue,0.99995,4.99999999999945e-05,39.10158,-96.59982,KonzaKS,45228.2256908648,Y,2,0.716400861740112
QUE002304_mac,mac,0.99996,4.000000000004e-05,39.10791,-96.60469,KonzaKS,125711.174626757,Y,2,0.778201818466187
